id,domain_code,title_es,description,likely_consequence,recommended_action,status
CSPTF-WEAK-GOV-001,GOV,Alcance ambiguo,"Condición de diseño, implementación u operación caracterizada por alcance ambiguo, capaz de facilitar amenazas del dominio GOV.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-GOV-002,GOV,Inventario incompleto,"Condición de diseño, implementación u operación caracterizada por inventario incompleto, capaz de facilitar amenazas del dominio GOV.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-GOV-003,GOV,Reglas de detención inexistentes,"Condición de diseño, implementación u operación caracterizada por reglas de detención inexistentes, capaz de facilitar amenazas del dominio GOV.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-GOV-004,GOV,RACI no definido,"Condición de diseño, implementación u operación caracterizada por raci no definido, capaz de facilitar amenazas del dominio GOV.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-GOV-005,GOV,Evidencia sin cadena de custodia,"Condición de diseño, implementación u operación caracterizada por evidencia sin cadena de custodia, capaz de facilitar amenazas del dominio GOV.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-ARC-001,ARC,Invariantes no formalizados,"Condición de diseño, implementación u operación caracterizada por invariantes no formalizados, capaz de facilitar amenazas del dominio ARC.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-ARC-002,ARC,Estados terminales inseguros,"Condición de diseño, implementación u operación caracterizada por estados terminales inseguros, capaz de facilitar amenazas del dominio ARC.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-ARC-003,ARC,Acoplamiento excesivo,"Condición de diseño, implementación u operación caracterizada por acoplamiento excesivo, capaz de facilitar amenazas del dominio ARC.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-ARC-004,ARC,Privilegios concentrados,"Condición de diseño, implementación u operación caracterizada por privilegios concentrados, capaz de facilitar amenazas del dominio ARC.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-ARC-005,ARC,Recuperación arquitectónica no probada,"Condición de diseño, implementación u operación caracterizada por recuperación arquitectónica no probada, capaz de facilitar amenazas del dominio ARC.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
