tool_id,category,example_tools,official_reference,primary_domains,validates,typical_evidence,max_evidence_without_review,notes
TOOL-001,Threat modeling,OWASP Threat Dragon,https://owasp.org/www-project-threat-dragon/,GOV;ARC;DEF;BRG;IRR,"assets, trust boundaries, attack paths and invariants","diagram export, model version, assumptions, review notes",E1,Requires owner validation and scope reconciliation.
TOOL-002,EVM development and fork testing,Foundry,https://book.getfoundry.sh/,SCT;DAP;TOK;DEF;BRG;ORA,"unit tests, invariant tests, fork simulation and transaction interaction","test output, seed, fork block, trace, state diff",E4,Use isolated forks or testnets unless production activity is separately authorized.
TOOL-003,Smart-contract static analysis,Slither,https://github.com/crytic/slither,SCT;DAP;TOK;BRG;ORA,"known code patterns, authorization defects, upgrade risks and contract structure","detector output, source version, compiler version, triage notes",E2,Static findings require reachability and impact validation.
TOOL-004,Smart-contract fuzzing,Echidna,https://github.com/crytic/echidna,SCT;DAP;TOK;DEF;BRG,"property violations, invariant failures and state-machine edge cases","configuration, seed, minimized case, replay steps, coverage",E4,Record preconditions and avoid real assets.
TOOL-005,On-chain simulation and tracing,Tenderly,https://docs.tenderly.co/,DEF;BRG;ORA;L2;CEX;IRR,"transaction effects, state diffs, gas behavior, event paths and monitoring conditions","simulation URL or export, block, chain ID, trace, state diff",E4,Commercial or hosted tooling must respect data-handling restrictions.
TOOL-006,SAST and custom rules,Semgrep,https://semgrep.dev/docs/,API;INF;SCT;SUP;IAM,"source patterns, dangerous APIs, secret-handling patterns and policy rules","rule version, scan output, source commit, triage notes",E2,False positives and custom rule semantics must be documented.
TOOL-007,Semantic code analysis,CodeQL CLI,https://docs.github.com/en/code-security/codeql-cli,API;INF;SCT;SUP;IAM,"data flow, taint flow, injection paths and code security properties","database version, query pack, scan output, source commit",E2,Findings need reachable-path and authorization review.
TOOL-008,DAST and web/API scanning,OWASP ZAP,https://www.zaproxy.org/docs/,API;CEX;DAP;IAM;INF,"web/API exposure, input handling, sessions and common application flaws","scan policy, request log, response evidence, target version",E3,Throttle traffic and stay within approved rate and endpoint scope.
TOOL-009,Manual web/API testing,Burp Suite,https://portswigger.net/burp/documentation,API;CEX;DAP;IAM;INF,"authentication, authorization, business logic and manual exploit validation","proxy history, repeater evidence, screenshots, reviewer notes",E4,Only interact with authorized targets and accepted risk conditions.
TOOL-010,Dependency vulnerability scanning,OSV-Scanner,https://google.github.io/osv-scanner/,SUP;INF;API;SCT,"known vulnerable dependencies and advisory mapping","lockfile, scan output, advisory, affected version",E2,Vulnerability presence is not the same as exploitability.
TOOL-011,SBOM generation,Syft and CycloneDX tooling,https://github.com/anchore/syft,SUP;INF;API;SCT,"component inventory, package metadata and artifact transparency","SBOM, build hash, source commit, package lock",E2,Pair with advisory and provenance review.
TOOL-012,Container and IaC vulnerability review,Trivy,https://trivy.dev/latest/,INF;SUP;IAM;NET,"container packages, IaC findings, misconfiguration and secret exposure","image digest, IaC path, scan output, exception record",E2,Confirm runtime exposure before assigning risk.
TOOL-013,IaC and policy-as-code review,Checkov,https://www.checkov.io/1.Welcome/What%20is%20Checkov.html,INF;IAM;NET;MON;IRR,"cloud and IaC policy, network exposure and identity control gaps","policy output, Terraform plan, resource IDs, triage notes",E2,Read-only collection is preferred unless change control is approved.
TOOL-014,Cloud security posture,Prowler,https://docs.prowler.com/,INF;IAM;MON;IRR;REG,"cloud account posture, identity, logging, encryption and compliance checks","account scope, finding export, evidence snapshot, remediation record",E3,Use least-privilege read-only credentials where possible.
TOOL-015,Detection rule engineering,Sigma,https://sigmahq.io/docs/,MON;IRR;CEX;NET;BRG,"portable detection logic and telemetry coverage","rule version, query translation, test alert, tuning notes",E3,Use safe signal emulation and preserve false-positive rationale.
TOOL-016,Metrics and observability,Prometheus and Grafana,https://prometheus.io/docs/introduction/overview/,MON;IRR;NET;L2;CEX,"telemetry availability, alerting, SLOs and recovery signals","dashboard, query, alert event, timeline, incident ticket",E3,Monitoring evidence must include time window and environment.
TOOL-017,Cryptographic algorithm validation,NIST CAVP and ACVTS,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program,CRY,"algorithm correctness, approved-mode assumptions, test vectors and validation status","test vector output, validation listing, algorithm configuration, implementation version",E3,Formal validation claims require verified certificate scope and operating environment.
TOOL-018,Key management and HSM/KMS review,KMS/HSM logs and key-policy tooling,https://docs.aws.amazon.com/kms/latest/developerguide/overview.html,KEY;IAM;CEX;GOV,"key policy, signer authority, HSM/KMS controls, audit logs and root-key protection","key policy export, access log, signer set, ceremony record, approval workflow",E3,Never request private keys, seeds or unencrypted secret material.
TOOL-019,EVM development and simulated networks,Hardhat,https://hardhat.org/docs,SCT;DAP;TOK;DEF;BRG,"contract tests, simulated networks, forked execution, traces and deployment workflows","test output, network configuration, fork block, traces, source commit",E4,Keep fork and simulated-network activity separate from production authority.
TOOL-020,Symbolic EVM analysis,Mythril,https://github.com/ConsensysDiligence/mythril,SCT;DAP;TOK,"symbolic-execution findings, bytecode paths and vulnerability hypotheses","tool version, bytecode/source commit, finding output, triage notes",E2,Symbolic findings still require reachability and impact validation.
TOOL-021,Symbolic smart-contract testing,Halmos,https://github.com/a16z/halmos,SCT;DAP;TOK,"symbolic test assertions, counterexamples and invariant reasoning","test suite, counterexample, solver configuration, replay notes",E4,Record solver limits and reproduce counterexamples where possible.
TOOL-022,Coverage-guided smart-contract fuzzing,Medusa,https://github.com/crytic/medusa,SCT;DAP;TOK;DEF;BRG,"coverage-guided fuzzing, invariant violations and state-machine failures","configuration, seed, coverage, minimized case, replay steps",E4,Run only against isolated lab, fork or testnet state.
