id,domain_code,title_es,minimum_profile,related_controls,status,result,evidence_id,finding_id,notes
CSPTF-TEST-GOV-001,GOV,Verificar la autorización y el alcance formal,AP1,CSPTF-CTRL-GOV-001,draft,not-tested,,,
CSPTF-TEST-GOV-002,GOV,Validar el inventario de activos y flujos de valor,AP1,CSPTF-CTRL-GOV-001,draft,not-tested,,,
CSPTF-TEST-GOV-003,GOV,"Revisar roles, escalamiento y autoridad de detención",AP1,CSPTF-CTRL-GOV-002,draft,not-tested,,,
CSPTF-TEST-GOV-004,GOV,Evaluar el modelo de amenazas y supuestos,AP2,CSPTF-CTRL-GOV-002,draft,not-tested,,,
CSPTF-TEST-GOV-005,GOV,Comprobar exclusiones y dependencias de terceros,AP2,CSPTF-CTRL-GOV-003,draft,not-tested,,,
CSPTF-TEST-GOV-006,GOV,"Validar presupuestos de pérdida, gas y transacciones",AP2,CSPTF-CTRL-GOV-003,draft,not-tested,,,
CSPTF-TEST-GOV-007,GOV,"Revisar ventanas, monitoreo y comunicaciones",AP2,CSPTF-CTRL-GOV-004,draft,not-tested,,,
CSPTF-TEST-ARC-001,ARC,Reconstruir la arquitectura lógica y física,AP1,CSPTF-CTRL-ARC-001,draft,not-tested,,,
CSPTF-TEST-ARC-002,ARC,Trazar flujos de activos y mensajes,AP1,CSPTF-CTRL-ARC-001,draft,not-tested,,,
CSPTF-TEST-ARC-003,ARC,Validar fronteras de confianza,AP1,CSPTF-CTRL-ARC-002,draft,not-tested,,,
CSPTF-TEST-ARC-004,ARC,Comprobar invariantes de seguridad,AP2,CSPTF-CTRL-ARC-002,draft,not-tested,,,
CSPTF-TEST-ARC-005,ARC,Revisar máquinas de estado y transiciones,AP2,CSPTF-CTRL-ARC-003,draft,not-tested,,,
CSPTF-TEST-ARC-006,ARC,Evaluar separación de funciones,AP2,CSPTF-CTRL-ARC-003,draft,not-tested,,,
CSPTF-TEST-ARC-007,ARC,Examinar actualización y migración,AP2,CSPTF-CTRL-ARC-004,draft,not-tested,,,
CSPTF-TEST-CRY-001,CRY,Inventariar primitivas y parámetros,AP1,CSPTF-CTRL-CRY-001,draft,not-tested,,,
CSPTF-TEST-CRY-002,CRY,Revisar fuentes de entropía,AP1,CSPTF-CTRL-CRY-001,draft,not-tested,,,
CSPTF-TEST-CRY-003,CRY,Validar generación y reutilización de nonces,AP1,CSPTF-CTRL-CRY-002,draft,not-tested,,,
CSPTF-TEST-CRY-004,CRY,Comprobar validación de firmas,AP2,CSPTF-CTRL-CRY-002,draft,not-tested,,,
CSPTF-TEST-CRY-005,CRY,Evaluar separación de dominios,AP2,CSPTF-CTRL-CRY-003,draft,not-tested,,,
CSPTF-TEST-CRY-006,CRY,Probar controles anti-replay en entorno autorizado,AP2,CSPTF-CTRL-CRY-003,draft,not-tested,,,
CSPTF-TEST-CRY-007,CRY,Revisar serialización y codificación canónica,AP2,CSPTF-CTRL-CRY-004,draft,not-tested,,,
CSPTF-TEST-KEY-001,KEY,Revisar ceremonia de generación de claves,AP1,CSPTF-CTRL-KEY-001,draft,not-tested,,,
CSPTF-TEST-KEY-002,KEY,"Validar segregación hot, warm y cold",AP1,CSPTF-CTRL-KEY-001,draft,not-tested,,,
CSPTF-TEST-KEY-003,KEY,Comprobar políticas de firma y límites,AP1,CSPTF-CTRL-KEY-002,draft,not-tested,,,
CSPTF-TEST-KEY-004,KEY,"Evaluar quorum, multisig o MPC",AP2,CSPTF-CTRL-KEY-002,draft,not-tested,,,
CSPTF-TEST-KEY-005,KEY,Revisar almacenamiento y acceso a seeds,AP2,CSPTF-CTRL-KEY-003,draft,not-tested,,,
CSPTF-TEST-KEY-006,KEY,Validar procesos de retiro y allowlists,AP2,CSPTF-CTRL-KEY-003,draft,not-tested,,,
CSPTF-TEST-KEY-007,KEY,Comprobar rotación y revocación,AP2,CSPTF-CTRL-KEY-004,draft,not-tested,,,
CSPTF-TEST-SCT-001,SCT,Verificar correspondencia fuente-bytecode,AP1,CSPTF-CTRL-SCT-001,draft,not-tested,,,
CSPTF-TEST-SCT-002,SCT,Revisar control de acceso y ownership,AP1,CSPTF-CTRL-SCT-001,draft,not-tested,,,
CSPTF-TEST-SCT-003,SCT,Evaluar llamadas externas y reentradas,AP1,CSPTF-CTRL-SCT-002,draft,not-tested,,,
CSPTF-TEST-SCT-004,SCT,Comprobar invariantes y contabilidad,AP2,CSPTF-CTRL-SCT-002,draft,not-tested,,,
CSPTF-TEST-SCT-005,SCT,"Analizar proxies, upgrades y storage layout",AP2,CSPTF-CTRL-SCT-003,draft,not-tested,,,
CSPTF-TEST-SCT-006,SCT,"Revisar fallos, revert y manejo de errores",AP2,CSPTF-CTRL-SCT-003,draft,not-tested,,,
CSPTF-TEST-SCT-007,SCT,"Evaluar bucles, gas y denegación de servicio",AP2,CSPTF-CTRL-SCT-004,draft,not-tested,,,
CSPTF-TEST-DAP-001,DAP,Revisar integridad del artefacto frontend,AP1,CSPTF-CTRL-DAP-001,draft,not-tested,,,
CSPTF-TEST-DAP-002,DAP,"Validar vinculación de cuenta, sesión y wallet",AP1,CSPTF-CTRL-DAP-001,draft,not-tested,,,
CSPTF-TEST-DAP-003,DAP,Evaluar mensajes y transacciones solicitadas,AP1,CSPTF-CTRL-DAP-002,draft,not-tested,,,
CSPTF-TEST-DAP-004,DAP,"Comprobar chain ID, contrato y red objetivo",AP2,CSPTF-CTRL-DAP-002,draft,not-tested,,,
CSPTF-TEST-DAP-005,DAP,Revisar autenticación y autorización off-chain,AP2,CSPTF-CTRL-DAP-003,draft,not-tested,,,
CSPTF-TEST-DAP-006,DAP,Evaluar exposición de secretos y configuración,AP2,CSPTF-CTRL-DAP-003,draft,not-tested,,,
CSPTF-TEST-DAP-007,DAP,Comprobar protección contra inyección y XSS,AP2,CSPTF-CTRL-DAP-004,draft,not-tested,,,
CSPTF-TEST-TOK-001,TOK,Validar invariantes de supply,AP1,CSPTF-CTRL-TOK-001,draft,not-tested,,,
CSPTF-TEST-TOK-002,TOK,Revisar permisos de mint y burn,AP1,CSPTF-CTRL-TOK-001,draft,not-tested,,,
CSPTF-TEST-TOK-003,TOK,Evaluar transferencias y callbacks,AP1,CSPTF-CTRL-TOK-002,draft,not-tested,,,
CSPTF-TEST-TOK-004,TOK,Comprobar approvals y allowances,AP2,CSPTF-CTRL-TOK-002,draft,not-tested,,,
CSPTF-TEST-TOK-005,TOK,"Revisar metadata, URI y mutabilidad",AP2,CSPTF-CTRL-TOK-003,draft,not-tested,,,
CSPTF-TEST-TOK-006,TOK,Validar royalties y lógica comercial,AP2,CSPTF-CTRL-TOK-003,draft,not-tested,,,
CSPTF-TEST-TOK-007,TOK,Comprobar compatibilidad con estándares,AP2,CSPTF-CTRL-TOK-004,draft,not-tested,,,
CSPTF-TEST-DEF-001,DEF,Modelar invariantes económicas,AP1,CSPTF-CTRL-DEF-001,draft,not-tested,,,
CSPTF-TEST-DEF-002,DEF,Validar valoración de activos y shares,AP1,CSPTF-CTRL-DEF-001,draft,not-tested,,,
CSPTF-TEST-DEF-003,DEF,Evaluar colateral y factores de liquidación,AP1,CSPTF-CTRL-DEF-002,draft,not-tested,,,
CSPTF-TEST-DEF-004,DEF,Comprobar exposición a flash liquidity,AP2,CSPTF-CTRL-DEF-002,draft,not-tested,,,
CSPTF-TEST-DEF-005,DEF,"Analizar slippage, profundidad y concentración",AP2,CSPTF-CTRL-DEF-003,draft,not-tested,,,
CSPTF-TEST-DEF-006,DEF,"Revisar caps, pausas y límites dinámicos",AP2,CSPTF-CTRL-DEF-003,draft,not-tested,,,
CSPTF-TEST-DEF-007,DEF,"Evaluar redondeo, precisión y acumulación de fees",AP2,CSPTF-CTRL-DEF-004,draft,not-tested,,,
CSPTF-TEST-ORA-001,ORA,Inventariar fuentes y dependencias,AP1,CSPTF-CTRL-ORA-001,draft,not-tested,,,
CSPTF-TEST-ORA-002,ORA,Validar frescura y heartbeat,AP1,CSPTF-CTRL-ORA-001,draft,not-tested,,,
CSPTF-TEST-ORA-003,ORA,Evaluar agregación y outliers,AP1,CSPTF-CTRL-ORA-002,draft,not-tested,,,
CSPTF-TEST-ORA-004,ORA,Comprobar autenticidad de actualizaciones,AP2,CSPTF-CTRL-ORA-002,draft,not-tested,,,
CSPTF-TEST-ORA-005,ORA,Revisar límites y sanity checks,AP2,CSPTF-CTRL-ORA-003,draft,not-tested,,,
CSPTF-TEST-ORA-006,ORA,Evaluar fallbacks y modo degradado,AP2,CSPTF-CTRL-ORA-003,draft,not-tested,,,
CSPTF-TEST-ORA-007,ORA,Comprobar permisos de actualización,AP2,CSPTF-CTRL-ORA-004,draft,not-tested,,,
CSPTF-TEST-BRG-001,BRG,Documentar modelo de confianza del bridge,AP1,CSPTF-CTRL-BRG-001,draft,not-tested,,,
CSPTF-TEST-BRG-002,BRG,Validar autenticidad de mensajes,AP1,CSPTF-CTRL-BRG-001,draft,not-tested,,,
CSPTF-TEST-BRG-003,BRG,"Comprobar nonce, replay y unicidad",AP1,CSPTF-CTRL-BRG-002,draft,not-tested,,,
CSPTF-TEST-BRG-004,BRG,Evaluar finalidad y reorganizaciones,AP2,CSPTF-CTRL-BRG-002,draft,not-tested,,,
CSPTF-TEST-BRG-005,BRG,Revisar lock-mint y burn-release,AP2,CSPTF-CTRL-BRG-003,draft,not-tested,,,
CSPTF-TEST-BRG-006,BRG,Comprobar quorum y rotación de validadores,AP2,CSPTF-CTRL-BRG-003,draft,not-tested,,,
CSPTF-TEST-BRG-007,BRG,Evaluar coherencia entre contratos de ambos lados,AP2,CSPTF-CTRL-BRG-004,draft,not-tested,,,
CSPTF-TEST-NET-001,NET,Revisar parámetros de consenso y génesis,AP1,CSPTF-CTRL-NET-001,draft,not-tested,,,
CSPTF-TEST-NET-002,NET,Validar diversidad y versiones de clientes,AP1,CSPTF-CTRL-NET-001,draft,not-tested,,,
CSPTF-TEST-NET-003,NET,Evaluar exposición de nodos y puertos,AP1,CSPTF-CTRL-NET-002,draft,not-tested,,,
CSPTF-TEST-NET-004,NET,Comprobar peer discovery y allowlisting,AP2,CSPTF-CTRL-NET-002,draft,not-tested,,,
CSPTF-TEST-NET-005,NET,Revisar identidad y claves de validador,AP2,CSPTF-CTRL-NET-003,draft,not-tested,,,
CSPTF-TEST-NET-006,NET,Evaluar protección contra double signing,AP2,CSPTF-CTRL-NET-003,draft,not-tested,,,
CSPTF-TEST-NET-007,NET,Comprobar mempool y políticas de admisión,AP2,CSPTF-CTRL-NET-004,draft,not-tested,,,
CSPTF-TEST-L2-001,L2,Documentar supuestos L1/L2,AP1,CSPTF-CTRL-L2-001,draft,not-tested,,,
CSPTF-TEST-L2-002,L2,Validar construcción y envío de batches,AP1,CSPTF-CTRL-L2-001,draft,not-tested,,,
CSPTF-TEST-L2-003,L2,Revisar verificación de pruebas,AP1,CSPTF-CTRL-L2-002,draft,not-tested,,,
CSPTF-TEST-L2-004,L2,Comprobar disponibilidad y reconstrucción de datos,AP2,CSPTF-CTRL-L2-002,draft,not-tested,,,
CSPTF-TEST-L2-005,L2,Evaluar puente canónico y retiros,AP2,CSPTF-CTRL-L2-003,draft,not-tested,,,
CSPTF-TEST-L2-006,L2,Validar ventanas de desafío,AP2,CSPTF-CTRL-L2-003,draft,not-tested,,,
CSPTF-TEST-L2-007,L2,Revisar forced inclusion y resistencia a censura,AP2,CSPTF-CTRL-L2-004,draft,not-tested,,,
CSPTF-TEST-CEX-001,CEX,"Evaluar registro, recuperación y MFA",AP1,CSPTF-CTRL-CEX-001,draft,not-tested,,,
CSPTF-TEST-CEX-002,CEX,Revisar autorización de cuentas y roles,AP1,CSPTF-CTRL-CEX-001,draft,not-tested,,,
CSPTF-TEST-CEX-003,CEX,Validar integridad del ciclo de órdenes,AP1,CSPTF-CTRL-CEX-002,draft,not-tested,,,
CSPTF-TEST-CEX-004,CEX,Comprobar idempotencia y concurrencia,AP2,CSPTF-CTRL-CEX-002,draft,not-tested,,,
CSPTF-TEST-CEX-005,CEX,Evaluar depósitos y políticas de confirmación,AP2,CSPTF-CTRL-CEX-003,draft,not-tested,,,
CSPTF-TEST-CEX-006,CEX,"Revisar retiros, allowlists y cooling-off",AP2,CSPTF-CTRL-CEX-003,draft,not-tested,,,
CSPTF-TEST-CEX-007,CEX,Validar segregación de custodia y tesorería,AP2,CSPTF-CTRL-CEX-004,draft,not-tested,,,
CSPTF-TEST-API-001,API,"Inventariar endpoints, métodos y versiones",AP1,CSPTF-CTRL-API-001,draft,not-tested,,,
CSPTF-TEST-API-002,API,Evaluar autenticación y ciclo de API keys,AP1,CSPTF-CTRL-API-001,draft,not-tested,,,
CSPTF-TEST-API-003,API,Comprobar autorización por objeto,AP1,CSPTF-CTRL-API-002,draft,not-tested,,,
CSPTF-TEST-API-004,API,Revisar métodos RPC sensibles,AP2,CSPTF-CTRL-API-002,draft,not-tested,,,
CSPTF-TEST-API-005,API,Validar rate limiting y cuotas,AP2,CSPTF-CTRL-API-003,draft,not-tested,,,
CSPTF-TEST-API-006,API,Evaluar validación de parámetros,AP2,CSPTF-CTRL-API-003,draft,not-tested,,,
CSPTF-TEST-API-007,API,Comprobar filtrado de datos sensibles,AP2,CSPTF-CTRL-API-004,draft,not-tested,,,
CSPTF-TEST-INF-001,INF,"Revisar cuentas, proyectos y segmentación",AP1,CSPTF-CTRL-INF-001,draft,not-tested,,,
CSPTF-TEST-INF-002,INF,Evaluar IAM y privilegios cloud,AP1,CSPTF-CTRL-INF-001,draft,not-tested,,,
CSPTF-TEST-INF-003,INF,"Comprobar secretos, KMS y rotación",AP1,CSPTF-CTRL-INF-002,draft,not-tested,,,
CSPTF-TEST-INF-004,INF,Revisar imágenes y configuración de contenedores,AP2,CSPTF-CTRL-INF-002,draft,not-tested,,,
CSPTF-TEST-INF-005,INF,Evaluar controles de Kubernetes,AP2,CSPTF-CTRL-INF-003,draft,not-tested,,,
CSPTF-TEST-INF-006,INF,Comprobar integridad del pipeline y aprobaciones,AP2,CSPTF-CTRL-INF-003,draft,not-tested,,,
CSPTF-TEST-INF-007,INF,Validar firma y procedencia de artefactos,AP2,CSPTF-CTRL-INF-004,draft,not-tested,,,
CSPTF-TEST-IAM-001,IAM,"Revisar altas, cambios y bajas",AP1,CSPTF-CTRL-IAM-001,draft,not-tested,,,
CSPTF-TEST-IAM-002,IAM,Evaluar MFA y recuperación de acceso,AP1,CSPTF-CTRL-IAM-001,draft,not-tested,,,
CSPTF-TEST-IAM-003,IAM,Comprobar privilegios efectivos,AP1,CSPTF-CTRL-IAM-002,draft,not-tested,,,
CSPTF-TEST-IAM-004,IAM,Validar segregación de funciones,AP2,CSPTF-CTRL-IAM-002,draft,not-tested,,,
CSPTF-TEST-IAM-005,IAM,Revisar PAM y grabación de sesiones,AP2,CSPTF-CTRL-IAM-003,draft,not-tested,,,
CSPTF-TEST-IAM-006,IAM,Comprobar cuentas break-glass,AP2,CSPTF-CTRL-IAM-003,draft,not-tested,,,
CSPTF-TEST-IAM-007,IAM,Evaluar identidades de máquina,AP2,CSPTF-CTRL-IAM-004,draft,not-tested,,,
CSPTF-TEST-SUP-001,SUP,Generar y revisar SBOM,AP1,CSPTF-CTRL-SUP-001,draft,not-tested,,,
CSPTF-TEST-SUP-002,SUP,Validar protección de ramas y revisiones,AP1,CSPTF-CTRL-SUP-001,draft,not-tested,,,
CSPTF-TEST-SUP-003,SUP,Evaluar dependencias directas y transitivas,AP1,CSPTF-CTRL-SUP-002,draft,not-tested,,,
CSPTF-TEST-SUP-004,SUP,"Comprobar pinning, hashes y registries",AP2,CSPTF-CTRL-SUP-002,draft,not-tested,,,
CSPTF-TEST-SUP-005,SUP,Revisar runners y entornos de build,AP2,CSPTF-CTRL-SUP-003,draft,not-tested,,,
CSPTF-TEST-SUP-006,SUP,Validar firma y procedencia de artefactos,AP2,CSPTF-CTRL-SUP-003,draft,not-tested,,,
CSPTF-TEST-SUP-007,SUP,Comprobar builds reproducibles donde aplique,AP2,CSPTF-CTRL-SUP-004,draft,not-tested,,,
CSPTF-TEST-REG-001,REG,Identificar obligaciones y alcance regulatorio,AP1,CSPTF-CTRL-REG-001,draft,not-tested,,,
CSPTF-TEST-REG-002,REG,Revisar inventario y clasificación de datos,AP1,CSPTF-CTRL-REG-001,draft,not-tested,,,
