id,domain_id,domain_code,title_es,title_en,objective,requirement,minimum_profile,evidence,owner_examples,aadapt_tactics,nist_csf2,owasp_alignment,status
CSPTF-CTRL-GOV-001,CSPTF-DOM-01,GOV,Gobierno y responsabilidad del programa,,"Asegurar que gobierno y responsabilidad del programa se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar gobierno y responsabilidad del programa, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP1,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con gobierno y responsabilidad del programa.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Reconnaissance; Resource Development; Initial Access; Impact; Fraud,GV; ID,SCSTG engagement planning; SCSVS governance context,draft
CSPTF-CTRL-GOV-002,CSPTF-DOM-01,GOV,Inventario y clasificación de activos digitales,,"Asegurar que inventario y clasificación de activos digitales se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar inventario y clasificación de activos digitales, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP1,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con inventario y clasificación de activos digitales.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Reconnaissance; Resource Development; Initial Access; Impact; Fraud,GV; ID,SCSTG engagement planning; SCSVS governance context,draft
CSPTF-CTRL-GOV-003,CSPTF-DOM-01,GOV,Reglas de compromiso y autorización,,"Asegurar que reglas de compromiso y autorización se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar reglas de compromiso y autorización, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP2,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con reglas de compromiso y autorización.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Reconnaissance; Resource Development; Initial Access; Impact; Fraud,GV; ID,SCSTG engagement planning; SCSVS governance context,draft
CSPTF-CTRL-GOV-004,CSPTF-DOM-01,GOV,Modelado de amenazas orientado al negocio,,"Asegurar que modelado de amenazas orientado al negocio se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar modelado de amenazas orientado al negocio, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP2,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con modelado de amenazas orientado al negocio.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Reconnaissance; Resource Development; Initial Access; Impact; Fraud,GV; ID,SCSTG engagement planning; SCSVS governance context,draft
CSPTF-CTRL-GOV-005,CSPTF-DOM-01,GOV,Gestión de terceros y dependencias críticas,,"Asegurar que gestión de terceros y dependencias críticas se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar gestión de terceros y dependencias críticas, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP2,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con gestión de terceros y dependencias críticas.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Reconnaissance; Resource Development; Initial Access; Impact; Fraud,GV; ID,SCSTG engagement planning; SCSVS governance context,draft
CSPTF-CTRL-GOV-006,CSPTF-DOM-01,GOV,"Presupuestos de riesgo, pérdida y transacción",,"Asegurar que presupuestos de riesgo, pérdida y transacción se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar presupuestos de riesgo, pérdida y transacción, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP3,"Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con presupuestos de riesgo, pérdida y transacción.","Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Reconnaissance; Resource Development; Initial Access; Impact; Fraud,GV; ID,SCSTG engagement planning; SCSVS governance context,draft
CSPTF-CTRL-GOV-007,CSPTF-DOM-01,GOV,Gestión de cambios durante la evaluación,,"Asegurar que gestión de cambios durante la evaluación se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar gestión de cambios durante la evaluación, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP3,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con gestión de cambios durante la evaluación.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Reconnaissance; Resource Development; Initial Access; Impact; Fraud,GV; ID,SCSTG engagement planning; SCSVS governance context,draft
CSPTF-CTRL-GOV-008,CSPTF-DOM-01,GOV,"Aceptación, excepción y cierre de hallazgos",,"Asegurar que aceptación, excepción y cierre de hallazgos se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar aceptación, excepción y cierre de hallazgos, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP4,"Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con aceptación, excepción y cierre de hallazgos.","Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Reconnaissance; Resource Development; Initial Access; Impact; Fraud,GV; ID,SCSTG engagement planning; SCSVS governance context,draft
CSPTF-CTRL-ARC-001,CSPTF-DOM-02,ARC,Arquitectura documentada y versionada,,"Asegurar que arquitectura documentada y versionada se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar arquitectura documentada y versionada, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP1,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con arquitectura documentada y versionada.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,GV; ID; PR,SCSTG architecture and threat modeling; SCSVS architecture,draft
CSPTF-CTRL-ARC-002,CSPTF-DOM-02,ARC,Fronteras de confianza explícitas,,"Asegurar que fronteras de confianza explícitas se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar fronteras de confianza explícitas, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP1,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con fronteras de confianza explícitas.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,GV; ID; PR,SCSTG architecture and threat modeling; SCSVS architecture,draft
CSPTF-CTRL-ARC-003,CSPTF-DOM-02,ARC,Invariantes de seguridad y solvencia,,"Asegurar que invariantes de seguridad y solvencia se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar invariantes de seguridad y solvencia, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP2,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con invariantes de seguridad y solvencia.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,GV; ID; PR,SCSTG architecture and threat modeling; SCSVS architecture,draft
CSPTF-CTRL-ARC-004,CSPTF-DOM-02,ARC,Máquinas de estado completas,,"Asegurar que máquinas de estado completas se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar máquinas de estado completas, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP2,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con máquinas de estado completas.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,GV; ID; PR,SCSTG architecture and threat modeling; SCSVS architecture,draft
CSPTF-CTRL-ARC-005,CSPTF-DOM-02,ARC,Separación de funciones y planos,,"Asegurar que separación de funciones y planos se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar separación de funciones y planos, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP2,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con separación de funciones y planos.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,GV; ID; PR,SCSTG architecture and threat modeling; SCSVS architecture,draft
CSPTF-CTRL-ARC-006,CSPTF-DOM-02,ARC,Patrones seguros de actualización y migración,,"Asegurar que patrones seguros de actualización y migración se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar patrones seguros de actualización y migración, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP3,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con patrones seguros de actualización y migración.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,GV; ID; PR,SCSTG architecture and threat modeling; SCSVS architecture,draft
