id,code,name_es,name_en,purpose,status
CSPTF-DOM-01,GOV,"Gobernanza, alcance y modelado de amenazas","Governance, Scope and Threat Modeling","Establecer autorización, objetivos, límites, responsables, supuestos, apetito de riesgo y modelos de amenaza antes de ejecutar cualquier prueba.",draft
CSPTF-DOM-02,ARC,Arquitectura y diseño de protocolo,Architecture and Protocol Design,"Evaluar fronteras de confianza, invariantes, flujos de valor, estados, dependencias y propiedades de seguridad del sistema completo.",draft
CSPTF-DOM-03,CRY,"Criptografía, aleatoriedad y material criptográfico","Cryptography, Randomness and Cryptographic Material","Verificar selección, implementación, uso y ciclo de vida de primitivas criptográficas, fuentes de entropía, firmas y pruebas.",draft
CSPTF-DOM-04,KEY,"Gestión de claves, custodia, wallets y firma","Key Management, Custody, Wallets and Signing","Evaluar generación, almacenamiento, uso, recuperación, rotación y destrucción de claves, junto con políticas de firma y custodia.",draft
CSPTF-DOM-05,SCT,Contratos inteligentes y lógica de ejecución,Smart Contracts and Runtime Logic,"Evaluar código desplegable, lógica de negocio, control de acceso, interacciones, actualizaciones, gas y propiedades de ejecución.",draft
CSPTF-DOM-06,DAP,"dApps, frontend, sesiones e integración de wallets","dApps, Frontend, Sessions and Wallet Integration","Evaluar aplicaciones cliente, sesiones, proveedores Web3, solicitudes de firma, resolución de red y controles que conectan usuarios con funciones on-chain.",draft
CSPTF-DOM-07,TOK,"Tokens, NFT y ciclo de vida de activos","Tokens, NFTs and Asset Lifecycle","Evaluar emisión, quema, transferencia, metadata, permisos, supply, interoperabilidad y ciclo de vida de activos fungibles y no fungibles.",draft
CSPTF-DOM-08,DEF,DeFi y seguridad económica,DeFi and Economic Security,"Evaluar solvencia, precios, incentivos, liquidaciones, AMM, préstamos, vaults, MEV y ataques de composición económica.",draft
CSPTF-DOM-09,ORA,"Oráculos, datos externos y automatización","Oracles, External Data and Automation","Evaluar autenticidad, frescura, disponibilidad, agregación y uso seguro de precios, datos, keepers y automatizaciones off-chain.",draft
CSPTF-DOM-10,BRG,"Bridges, cross-chain e interoperabilidad","Bridges, Cross-chain and Interoperability","Evaluar bloqueo, mint, burn, release, validación de mensajes, relayers, verificadores, finalidad y coherencia entre dominios.",draft
CSPTF-DOM-11,NET,"Consenso, validadores, nodos y redes P2P","Consensus, Validators, Nodes and P2P Networks","Evaluar seguridad del consenso, operación de nodos, validadores, clientes, mempool, P2P, sincronización y exposición de interfaces.",draft
CSPTF-DOM-12,L2,"Layer 2, rollups, secuenciadores y disponibilidad de datos","Layer 2, Rollups, Sequencers and Data Availability","Evaluar pruebas, secuenciación, publicación de datos, puentes canónicos, ventanas de desafío, escape hatches y dependencias L1/L2.",draft
CSPTF-DOM-13,CEX,"Exchanges centralizados, brokers e infraestructura de mercado","Centralized Exchanges, Brokers and Market Infrastructure","Evaluar onboarding, cuentas, trading, depósitos, retiros, matching, custodia, reservas, fraude y procesos operacionales de plataformas centralizadas.",draft
CSPTF-DOM-14,API,"APIs, RPC, WebSocket y plataformas para desarrolladores","APIs, RPC, WebSocket and Developer Platforms","Evaluar autenticación, autorización, exposición, rate limiting, seguridad de métodos, datos y disponibilidad en interfaces programáticas.",draft
CSPTF-DOM-15,INF,"Cloud, contenedores, CI/CD e infraestructura","Cloud, Containers, CI/CD and Infrastructure","Evaluar la infraestructura que construye, despliega y opera servicios de activos digitales, incluyendo secretos, IaC, imágenes y pipelines.",draft
CSPTF-DOM-16,IAM,"Identidad, acceso privilegiado y riesgo interno","Identity, Privileged Access and Insider Risk","Evaluar identidades humanas y de máquina, acceso privilegiado, segregación, revisiones, monitoreo y controles frente a fraude o abuso interno.",draft
CSPTF-DOM-17,SUP,"Cadena de suministro, dependencias e integridad de construcción","Supply Chain, Dependencies and Build Integrity","Evaluar componentes, repositorios, compiladores, paquetes, artefactos, proveedores y procedencia del software y firmware.",draft
CSPTF-DOM-18,REG,"Privacidad, cumplimiento, AML/KYT y protección de datos","Privacy, Compliance, AML/KYT and Data Protection","Evaluar obligaciones aplicables, minimización, trazabilidad, privacidad, controles AML/KYT y tratamiento seguro de datos personales y financieros.",draft
CSPTF-DOM-19,MON,"Monitoreo, detección, analítica on-chain y fraude","Monitoring, Detection, On-chain Analytics and Fraud","Evaluar cobertura, calidad, correlación y respuesta de telemetría off-chain/on-chain frente a fraude, compromiso y anomalías económicas.",draft
CSPTF-DOM-20,IRR,"Respuesta a incidentes, recuperación, reservas y resiliencia","Incident Response, Recovery, Reserves and Resilience","Evaluar preparación, contención, recuperación, reconciliación, comunicación, evidencia, reservas y continuidad ante incidentes de activos digitales.",draft
