id,domain_code,title_es,description,assets_at_risk,aadapt_tactics,default_impact,status
CSPTF-THRT-GOV-001,GOV,Pruebas sin autorización efectiva,"Actor externo, interno o automatizado intenta provocar pruebas sin autorización efectiva para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",mandato de evaluación; inventario de activos; matriz RACI; modelo de amenazas,Reconnaissance; Resource Development; Initial Access; Impact; Fraud,4,draft
CSPTF-THRT-GOV-002,GOV,Activos críticos omitidos del alcance,"Actor externo, interno o automatizado intenta provocar activos críticos omitidos del alcance para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",mandato de evaluación; inventario de activos; matriz RACI; modelo de amenazas,Reconnaissance; Resource Development; Initial Access; Impact; Fraud,4,draft
CSPTF-THRT-GOV-003,GOV,Conflictos de interés o independencia insuficiente,"Actor externo, interno o automatizado intenta provocar conflictos de interés o independencia insuficiente para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",mandato de evaluación; inventario de activos; matriz RACI; modelo de amenazas,Reconnaissance; Resource Development; Initial Access; Impact; Fraud,4,draft
CSPTF-THRT-GOV-004,GOV,Cambios no controlados durante el ejercicio,"Actor externo, interno o automatizado intenta provocar cambios no controlados durante el ejercicio para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",mandato de evaluación; inventario de activos; matriz RACI; modelo de amenazas,Reconnaissance; Resource Development; Initial Access; Impact; Fraud,3,draft
CSPTF-THRT-GOV-005,GOV,Aceptación de riesgo sin autoridad competente,"Actor externo, interno o automatizado intenta provocar aceptación de riesgo sin autoridad competente para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",mandato de evaluación; inventario de activos; matriz RACI; modelo de amenazas,Reconnaissance; Resource Development; Initial Access; Impact; Fraud,3,draft
CSPTF-THRT-ARC-001,ARC,Violación de invariantes de protocolo,"Actor externo, interno o automatizado intenta provocar violación de invariantes de protocolo para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",diagramas de arquitectura; invariantes; máquinas de estado; flujos de fondos,Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,4,draft
CSPTF-THRT-ARC-002,ARC,Abuso de transiciones de estado,"Actor externo, interno o automatizado intenta provocar abuso de transiciones de estado para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",diagramas de arquitectura; invariantes; máquinas de estado; flujos de fondos,Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,4,draft
CSPTF-THRT-ARC-003,ARC,Compromiso de una frontera de confianza,"Actor externo, interno o automatizado intenta provocar compromiso de una frontera de confianza para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",diagramas de arquitectura; invariantes; máquinas de estado; flujos de fondos,Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,4,draft
CSPTF-THRT-ARC-004,ARC,Actualización maliciosa o defectuosa,"Actor externo, interno o automatizado intenta provocar actualización maliciosa o defectuosa para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",diagramas de arquitectura; invariantes; máquinas de estado; flujos de fondos,Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,3,draft
CSPTF-THRT-ARC-005,ARC,Fallo en cascada por dependencia externa,"Actor externo, interno o automatizado intenta provocar fallo en cascada por dependencia externa para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",diagramas de arquitectura; invariantes; máquinas de estado; flujos de fondos,Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,3,draft
CSPTF-THRT-CRY-001,CRY,Predicción o sesgo de aleatoriedad,"Actor externo, interno o automatizado intenta provocar predicción o sesgo de aleatoriedad para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",algoritmos; parámetros; entropía; nonce,Credential Access; Execution; Defense Evasion; Impact; Fraud,4,draft
CSPTF-THRT-CRY-002,CRY,Reutilización de nonce y exposición de clave,"Actor externo, interno o automatizado intenta provocar reutilización de nonce y exposición de clave para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",algoritmos; parámetros; entropía; nonce,Credential Access; Execution; Defense Evasion; Impact; Fraud,4,draft
CSPTF-THRT-CRY-003,CRY,Replay de mensajes firmados,"Actor externo, interno o automatizado intenta provocar replay de mensajes firmados para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",algoritmos; parámetros; entropía; nonce,Credential Access; Execution; Defense Evasion; Impact; Fraud,4,draft
CSPTF-THRT-CRY-004,CRY,Degradación de algoritmo o parámetro,"Actor externo, interno o automatizado intenta provocar degradación de algoritmo o parámetro para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",algoritmos; parámetros; entropía; nonce,Credential Access; Execution; Defense Evasion; Impact; Fraud,3,draft
CSPTF-THRT-CRY-005,CRY,Fallo de validación criptográfica,"Actor externo, interno o automatizado intenta provocar fallo de validación criptográfica para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",algoritmos; parámetros; entropía; nonce,Credential Access; Execution; Defense Evasion; Impact; Fraud,3,draft
CSPTF-THRT-KEY-001,KEY,Robo o exposición de clave privada,"Actor externo, interno o automatizado intenta provocar robo o exposición de clave privada para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",hot wallets; cold wallets; HSM; MPC,Credential Access; Collection; Defense Evasion; Impact; Fraud,4,draft
CSPTF-THRT-KEY-002,KEY,Colusión o compromiso de firmantes,"Actor externo, interno o automatizado intenta provocar colusión o compromiso de firmantes para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",hot wallets; cold wallets; HSM; MPC,Credential Access; Collection; Defense Evasion; Impact; Fraud,4,draft
CSPTF-THRT-KEY-003,KEY,Drenaje de hot wallet,"Actor externo, interno o automatizado intenta provocar drenaje de hot wallet para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",hot wallets; cold wallets; HSM; MPC,Credential Access; Collection; Defense Evasion; Impact; Fraud,4,draft
CSPTF-THRT-KEY-004,KEY,Abuso del proceso de recuperación,"Actor externo, interno o automatizado intenta provocar abuso del proceso de recuperación para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",hot wallets; cold wallets; HSM; MPC,Credential Access; Collection; Defense Evasion; Impact; Fraud,3,draft
CSPTF-THRT-KEY-005,KEY,Sustitución de dirección o transacción,"Actor externo, interno o automatizado intenta provocar sustitución de dirección o transacción para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",hot wallets; cold wallets; HSM; MPC,Credential Access; Collection; Defense Evasion; Impact; Fraud,3,draft
CSPTF-THRT-SCT-001,SCT,Ejecución no autorizada de funciones críticas,"Actor externo, interno o automatizado intenta provocar ejecución no autorizada de funciones críticas para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",código fuente; bytecode; ABI; proxy,Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,4,draft
CSPTF-THRT-SCT-002,SCT,Manipulación de contabilidad interna,"Actor externo, interno o automatizado intenta provocar manipulación de contabilidad interna para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",código fuente; bytecode; ABI; proxy,Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,4,draft
CSPTF-THRT-SCT-003,SCT,Reentrancia o interacción inesperada,"Actor externo, interno o automatizado intenta provocar reentrancia o interacción inesperada para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",código fuente; bytecode; ABI; proxy,Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,4,draft
CSPTF-THRT-SCT-004,SCT,Colisión de almacenamiento en actualización,"Actor externo, interno o automatizado intenta provocar colisión de almacenamiento en actualización para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",código fuente; bytecode; ABI; proxy,Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,3,draft
