domain_id,domain_code,domain_name,mitre_aadapt_tactics,nist_csf_2_0,owasp_alignment,eea_ethtrust,nist_sp_800_115,mapping_status,mapping_note
CSPTF-DOM-01,GOV,"Governance, Scope and Threat Modeling",Reconnaissance; Resource Development; Initial Access; Impact; Fraud,GV; ID,SCSTG engagement planning; SCSVS governance context,Limited,Planning; Discovery; Attack/Validation; Reporting; Mitigation,proposed,Thematic alignment; not a claim of formal equivalence or compliance.
CSPTF-DOM-02,ARC,Architecture and Protocol Design,Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,GV; ID; PR,SCSTG architecture and threat modeling; SCSVS architecture,Primary,Planning; Discovery; Attack/Validation; Reporting; Mitigation,proposed,Thematic alignment; not a claim of formal equivalence or compliance.
CSPTF-DOM-03,CRY,"Cryptography, Randomness and Cryptographic Material",Credential Access; Execution; Defense Evasion; Impact; Fraud,PR,SCSTG cryptography; SCSVS cryptography,Primary,Planning; Discovery; Attack/Validation; Reporting; Mitigation,proposed,Thematic alignment; not a claim of formal equivalence or compliance.
CSPTF-DOM-04,KEY,"Key Management, Custody, Wallets and Signing",Credential Access; Collection; Defense Evasion; Impact; Fraud,PR; DE; RS,SCSTG authentication and authorization; SCSVS access control,Primary,Planning; Discovery; Attack/Validation; Reporting; Mitigation,proposed,Thematic alignment; not a claim of formal equivalence or compliance.
CSPTF-DOM-05,SCT,Smart Contracts and Runtime Logic,Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,ID; PR; DE,SCSTG test catalog; SCSVS requirements; SCWE weaknesses,Primary,Planning; Discovery; Attack/Validation; Reporting; Mitigation,proposed,Thematic alignment; not a claim of formal equivalence or compliance.
CSPTF-DOM-06,DAP,"dApps, Frontend, Sessions and Wallet Integration",Initial Access; Execution; Credential Access; Collection; Fraud,PR; DE,SCSTG dApp and client interaction; SCSVS communications,Primary,Planning; Discovery; Attack/Validation; Reporting; Mitigation,proposed,Thematic alignment; not a claim of formal equivalence or compliance.
CSPTF-DOM-07,TOK,"Tokens, NFTs and Asset Lifecycle",Execution; Privilege Escalation; Impact; Fraud,PR; DE,SCSTG token interactions; SCSVS business logic,Primary,Planning; Discovery; Attack/Validation; Reporting; Mitigation,proposed,Thematic alignment; not a claim of formal equivalence or compliance.
CSPTF-DOM-08,DEF,DeFi and Economic Security,Execution; Impact; Fraud,ID; PR; DE,SCSTG DeFi and economic testing; SCSVS business logic,Primary,Planning; Discovery; Attack/Validation; Reporting; Mitigation,proposed,Thematic alignment; not a claim of formal equivalence or compliance.
CSPTF-DOM-09,ORA,"Oracles, External Data and Automation",Execution; Defense Evasion; Impact; Fraud,PR; DE; RS,SCSTG oracle security; SCSVS oracle controls,Primary,Planning; Discovery; Attack/Validation; Reporting; Mitigation,proposed,Thematic alignment; not a claim of formal equivalence or compliance.
CSPTF-DOM-10,BRG,"Bridges, Cross-chain and Interoperability",Initial Access; Execution; Credential Access; Impact; Fraud,ID; PR; DE; RS,SCSTG cross-contract and cross-chain interactions,Primary,Planning; Discovery; Attack/Validation; Reporting; Mitigation,proposed,Thematic alignment; not a claim of formal equivalence or compliance.
CSPTF-DOM-11,NET,"Consensus, Validators, Nodes and P2P Networks",Resource Development; Initial Access; Execution; Lateral Movement; Impact,PR; DE; RC,OWASP scope is partial; CSPTF extension,Limited,Planning; Discovery; Attack/Validation; Reporting; Mitigation,proposed,Thematic alignment; not a claim of formal equivalence or compliance.
CSPTF-DOM-12,L2,"Layer 2, Rollups, Sequencers and Data Availability",Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,ID; PR; DE; RC,OWASP scope is partial; CSPTF extension,Limited,Planning; Discovery; Attack/Validation; Reporting; Mitigation,proposed,Thematic alignment; not a claim of formal equivalence or compliance.
CSPTF-DOM-13,CEX,"Centralized Exchanges, Brokers and Market Infrastructure",Initial Access; Credential Access; Lateral Movement; Collection; Impact; Fraud,GV; PR; DE; RS; RC,OWASP scope is partial; CSPTF extension,Limited,Planning; Discovery; Attack/Validation; Reporting; Mitigation,proposed,Thematic alignment; not a claim of formal equivalence or compliance.
CSPTF-DOM-14,API,"APIs, RPC, WebSocket and Developer Platforms",Reconnaissance; Initial Access; Execution; Credential Access; Collection; Impact,PR; DE,OWASP API Security Top 10; SCSTG RPC interactions,Supporting,Planning; Discovery; Attack/Validation; Reporting; Mitigation,proposed,Thematic alignment; not a claim of formal equivalence or compliance.
CSPTF-DOM-15,INF,"Cloud, Containers, CI/CD and Infrastructure",Initial Access; Execution; Privilege Escalation; Credential Access; Lateral Movement; Impact,PR; DE; RC,OWASP DevSecOps and supply-chain practices,Supporting,Planning; Discovery; Attack/Validation; Reporting; Mitigation,proposed,Thematic alignment; not a claim of formal equivalence or compliance.
CSPTF-DOM-16,IAM,"Identity, Privileged Access and Insider Risk",Initial Access; Privilege Escalation; Credential Access; Lateral Movement; Collection; Fraud,GV; PR; DE,OWASP ASVS authentication and access control,Supporting,Planning; Discovery; Attack/Validation; Reporting; Mitigation,proposed,Thematic alignment; not a claim of formal equivalence or compliance.
CSPTF-DOM-17,SUP,"Supply Chain, Dependencies and Build Integrity",Resource Development; Initial Access; Execution; Defense Evasion; Impact,GV; ID; PR,OWASP Software Component Verification Standard themes,Supporting,Planning; Discovery; Attack/Validation; Reporting; Mitigation,proposed,Thematic alignment; not a claim of formal equivalence or compliance.
CSPTF-DOM-18,REG,"Privacy, Compliance, AML/KYT and Data Protection",Collection; Defense Evasion; Impact; Fraud,GV; ID; PR,OWASP privacy and data protection themes,Limited,Planning; Discovery; Attack/Validation; Reporting; Mitigation,proposed,Thematic alignment; not a claim of formal equivalence or compliance.
CSPTF-DOM-19,MON,"Monitoring, Detection, On-chain Analytics and Fraud",Defense Evasion; Collection; Impact; Fraud,DE; RS,SCSTG logging and event verification,Supporting,Planning; Discovery; Attack/Validation; Reporting; Mitigation,proposed,Thematic alignment; not a claim of formal equivalence or compliance.
CSPTF-DOM-20,IRR,"Incident Response, Recovery, Reserves and Resilience",Defense Evasion; Impact; Fraud,RS; RC,SCSTG incident-aware testing; CSPTF extension,Supporting,Planning; Discovery; Attack/Validation; Reporting; Mitigation,proposed,Thematic alignment; not a claim of formal equivalence or compliance.
